n,method,regime,coverage,avg_length,reject_rate,count
250,Fixed,high,0.950920245398773,1.1087230594797421,0.049079754601226995,163
250,Fixed,low,0.8394160583941606,1.1087230594797421,0.16058394160583941,137
250,SN,high,0.9447852760736196,1.0232912077727103,0.05521472392638037,163
250,SN,low,0.9562043795620438,1.5803404408758237,0.043795620437956206,137
500,Fixed,high,0.9583333333333334,0.7839855938160216,0.041666666666666664,144
500,Fixed,low,0.8205128205128205,0.7839855938160216,0.1794871794871795,156
500,SN,high,0.9375,0.7173067103943621,0.0625,144
500,SN,low,0.9294871794871795,1.1416195893936434,0.07051282051282051,156
